,tagname,tagcount
"","MDM","1"
"","IM4G","1"
"","Datenformate","1"
"","Java","1"
"","6","1"
"","Spring","1"
"","Batch","1"
"","Oracle","1"
"","DBMS","1"
"","SQL","1"
"","Ext.","1"
"","GWT","1"
"","(GXT)","1"
"","BIRT","1"
"","Talend","1"
"","Data","1"
"","Integration","1"
"","Suite","1"
"","Camunda","1"
"","Workflow","1"
"","Engine","1"
"","jHipster","1"
"","Integration","1"
"","diverser","1"
"","Fremdsysteme","1"
"","Java","1"
"","6","1"
"","Oracle","1"
"","DBMS","1"
"","MySQL","1"
"","DBMS","1"
"","AIX","1"
"","JEE","1"
"","5","1"
"","JSF","1"
"","Ajax","1"
"","Hibernate","1"
"","DB2","1"
"","Maven","1"
"","Subversion","1"
"","HPQC","1"
"","QTP","1"
"","IBM","1"
"","Websphere:","1"
"","Application","1"
"","Server","1"
"","Process","1"
"","Server","1"
"","Integration","1"
"","Developer","1"
"","Rational","1"
"","Requisite","1"
"","Pro","1"
"","+","1"
"","Software","1"
"","Architect","1"
"","Axis","1"
"","Spring","1"
"","Hibernate","1"
"","Struts","1"
"","MQ-Series","1"
"","Enterprise","1"
"","Architect","1"
"","UNIX","1"
"","Virtualisierung","1"
"","Clustertechnik","1"
"","Websphere","1"
"","Websphere","1"
"","MQ","1"
"","Oracle","1"
"","Java","1"
"","Eclipse","1"
"","SWT","1"
"","und","1"
"","Web","1"
"","GUI","1"
"","Java","1"
"","5","1"
"","Hibernate","1"
"","Swing","1"
"","JExcelAPI","1"
"","Oracle","1"
"","10g","1"
"","Ant","1"
"","Subversion","1"
"","JUnit","1"
"","XStream","1"
"","FirstSpirit","1"
"","hybris","1"
"","Java","1"
"","HTML","1"
"","Spring","1"
"","Angular","1"
"","4","1"
"","Bootstrap","1"
"","Websockets","1"
"","Docker","1"
"","Liquibase","1"
"","REST","1"
"","SAP","1"
"","PowerBuilder","1"
"","Java","1"
"","Vierstufige","1"
"","Anbieterbewertung:","1"
"","fachliche","1"
"","Vorselektion","1"
"","technische","1"
"","Selektion","1"
"","Lösungsbewertung","1"
"","Kostenanalyse","1"
"","Angestrebt","1"
"","wird","1"
"","eine","1"
"","hochskalierbare","1"
"","Microservice","1"
"","Architektur.","1"
"","Die","1"
"","einzelnen","1"
"","Services","1"
"","werden","1"
"","in","1"
"","Java","1"
"","entwickelt","1"
"","und","1"
"","mittels","1"
"","Docker-Swarm","1"
"","skaliert","1"
"","und","1"
"","verteilt.","1"
"","Die","1"
"","fachlichen","1"
"","Prozesse","1"
"","werden","1"
"","mit","1"
"","Camunda","1"
"","gesteuert.","1"
"","Dokumentenmanagement","1"
"","SAP","1"
"","Web","1"
"","Services","1"
"","iteraplan","1"
"","Java","1"
"","REST","1"
"","JSON","1"
"","Java","1"
"","Mail","1"
"","Microsoft","1"
"","SQL-Server","1"
"","Rapidminer","1"
"","Interactive","1"
"","Analyzer","1"
"","Microsoft","1"
"","Excel","1"
"","Crystal","1"
"","Reports","1"
"","Microsoft","1"
"","SQL-Server","1"
"","MS","1"
"","Sharepoint","1"
"","2010","1"
"","Lawson","1"
"","Business","1"
"","Intelligence","1"
"","Liferay","1"
"","Java","1"
"","J2EE","1"
"","Liferay","1"
"","Jboss","1"
"","Tomcat","1"
"","Apache","1"
"","MySQL","1"
"","Velocity","1"
"","Hibernate","1"
"","J2EE","1"
"","Liferay","1"
"","Tomcat","1"
"","MySQL","1"
"","Spring","1"
"","Hibernate","1"
"","J2EE","1"
"","Liferay","1"
"","CAS","1"
"","Jboss","1"
"","Tomcat","1"
"","MySQL","1"
"","Velocity","1"
"","Hibernate","1"
"","Ethereum","1"
"","Blockchain","1"
"","Smart","1"
"","Contracts","1"
"","Solidity","1"
"","Truffle","1"
"","Geth","1"
"","web3.js","1"
"","Ionic","1"
"","Firebase","1"
"","Cloud","1"
"","Messaging","1"
"","Google","1"
"","Books","1"
"","API","1"
"","AWS","1"
"","Product","1"
"","Advertising","1"
"","API","1"
"","Android","1"
"","Internet","1"
"","of","1"
"","Things","1"
"","Sensor","1"
"","mit","1"
"","Bluetooth","1"
"","Chip","1"
"","Android","1"
"","verschlüsselte","1"
"","Datenspeicherung","1"
"","verschlüsselte","1"
"","Bluetooth-Kommunikation","1"
"","Zusammenführung","1"
"","von","1"
"","externer","1"
"","Dialogmaschine","1"
"","(DialogFlow)","1"
"","mit","1"
"","unserem","1"
"","internen","1"
"","Chatsystem","1"
"","(Mattermost)","1"
"","und","1"
"","Microsoft","1"
"","Exchange.","1"
